satellite,pass,samples,rows_rejected,duration_min,median_sample_interval_s,solar_mean_w,solar_p95_w,solar_max_w,solar_energy_wh,sunlit_fraction_threshold,battery_v_min,battery_v_median,battery_v_max,battery_net_terminal_wh,battery_charge_fraction,health_flags
NEPALISAT,9 Nov 2020,1080,0,89.91666666666667,5.0,1.1316182790622222,3.2569243810349997,4.1839903715,1.6973936449844482,0.65,3.87,4.2,4.2,0.005542594027777905,0.5990740740740741,[]
NEPALISAT,25 Nov 2020,880,0,73.25,5.0,0.9352047043717046,3.370862167235,4.1744724751,1.1408739541500679,0.5159090909090909,3.87,4.07,4.2,0.22624791791666732,0.49204545454545456,[]
NEPALISAT,10 April 2021,1080,0,89.91666666666667,5.0,1.0769213301630556,3.1436503781500003,3.9467516334,1.61369447025222,0.6333333333333333,3.87,4.16,4.2,0.14517665666666765,0.5833333333333334,[]
RAAVANA,13 Feb 2021,1079,0,89.83333333333333,5.0,1.065624520890176,2.7815115211199997,3.7724784125,1.5947385811354153,0.6533827618164968,3.92,4.15,4.2,0.22299914465277848,0.4911955514365153,"[""PY panel produced <1 mW for >90% of samples""]"
RAAVANA,11 March 2021,1080,0,89.91666666666667,5.0,1.104042171969537,2.647949143795,3.6393631467,1.6541112343909024,0.6351851851851852,3.87,4.12,4.2,0.1827584850694451,0.55,"[""PY panel produced <1 mW for >90% of samples""]"
TSURU,March 28,1095,0,206.0366666666667,11.300000000000182,1.1774322571612785,3.3705925293899996,4.3022597586,4.04681879669021,0.5461187214611872,3.92,4.12,4.2,0.41892398642638834,0.5159817351598174,[]
TSURU,March 31,359,0,67.42333333333333,11.299999999999983,1.4677150919178272,3.67398233385,4.2517087239,1.6538633288185567,0.5793871866295265,0.0,4.07,4.2,-0.11169589838888902,0.5571030640668524,"[""battery voltage left the documented 3.0\u20134.5 V analysis guard band""]"
TSURU,April 20,595,7,99.0,10.0,1.0117918179680672,2.1770456392899997,3.5240308346999996,1.6686865212004176,0.680672268907563,3.94,4.17,4.2,0.14058448944444527,0.6605042016806723,[]
TSURU,April 27,595,10,99.0,10.0,1.0545064429455462,2.3591296679299987,3.6370588425,1.7386231636591667,0.6621848739495798,3.94,4.17,4.2,0.07171445402777801,0.6487394957983194,[]
TSURU,May 06,530,0,88.16666666666667,10.0,1.0439131032726414,2.340399150005,3.6606954037999997,1.5351526048816655,0.7018867924528301,3.97,4.17,4.2,0.09483260388888883,0.6641509433962264,[]
TSURU,May 13,595,0,99.0,10.0,1.054211379132605,1.6623906636899997,2.4007617649,1.738323915948195,0.8773109243697479,4.1,4.17,4.2,0.08276063277777784,0.6100840336134454,[]
TSURU,May 21,595,5,99.0,10.0,1.0706021365507563,2.1318140104099994,3.6010517379,1.766313128105557,0.7630252100840336,3.94,4.17,4.2,0.09659843624999977,0.66890756302521,[]
TSURU,May 28,587,0,97.66666666666667,10.0,0.9264476315914821,2.5163126593599996,3.7036307497,1.5081469529680553,0.5979557069846678,3.94,4.17,4.2,0.27771014055555626,0.5689948892674617,[]
TSURU,June 01,605,0,106.70666666666666,10.599999999999909,1.0815461745236363,3.0111085229799985,4.278092169,1.924715923114898,0.540495867768595,3.89,4.1,4.2,0.47104460391388875,0.512396694214876,[]
TSURU,June 25,595,1,99.0,10.0,0.8735349535487396,2.512187666049998,3.3986108182,1.443653699071667,0.5394957983193277,3.94,4.12,4.2,0.34255150263888917,0.5159663865546219,[]
TSURU,June 11,595,1,99.0,10.0,1.0248697978391597,2.38299296093,3.6175012018,1.6897468041065258,0.6705882352941176,3.94,4.17,4.2,0.1658071406944444,0.6436974789915967,[]
TSURU,June 17,592,0,98.5,10.0,1.0467274884817568,2.435872832094998,3.6654817410000002,1.717679498441945,0.6807432432432432,3.94,4.17,4.2,0.12750201861111107,0.6537162162162162,[]
TSURU,August 02,388,0,64.5,10.0,0.9000078870427834,2.7593615051599985,3.7418422390999995,0.9664988374698611,0.48195876288659795,3.94,4.1,4.2,0.25984411125000006,0.46649484536082475,[]
TSURU,July 05,593,0,98.66666666666667,10.0,1.123395018260371,2.6713606831799988,3.6163216806,1.8441247486326415,0.6930860033726813,3.79,4.17,4.2,0.053392506666666575,0.6458684654300169,[]
TSURU,July 09,595,0,99.0,10.0,1.1143984450193278,2.298508463239998,3.4635654323,1.836318048448614,0.7478991596638656,3.87,4.17,4.2,0.008559412638888816,0.6991596638655462,[]
TSURU,July 17,596,0,105.11666666666666,10.599999999999909,1.0183055715557046,1.312033134975,1.3942907281999999,1.783564741125996,1.0,4.17,4.2,4.2,0.12847033050000004,0.010067114093959731,[]
TSURU,August 07,595,1,99.0,10.0,0.8602613580346218,2.41847209223,3.6618387378,1.421728602656113,0.5428571428571428,3.94,4.15,4.2,0.3961133655555556,0.5008403361344538,[]
TSURU,August 22,589,0,98.0,10.0,1.04711620482309,2.538001403020001,3.5550845101,1.7090445892419446,0.66723259762309,3.94,4.17,4.2,0.07492489541666643,0.6485568760611206,[]
TSURU,August 26,595,921,99.0,10.0,1.2838180558927732,3.1771805749199995,4.0464666246,2.1196477086469443,0.6386554621848739,0.0,4.17,4.2,0.26833571250000005,0.5831932773109244,"[""battery voltage left the documented 3.0\u20134.5 V analysis guard band""]"
TSURU,September 07,594,0,98.83333333333333,10.0,1.2284766617338385,3.02129725271,3.7263888353,2.024157870870974,0.702020202020202,3.94,4.17,4.2,-0.1774959708333334,0.6599326599326599,[]
TSURU,September 03,590,0,98.16666666666667,10.0,1.0292032638545763,2.4458348202349987,3.6857758151999995,1.6828250660572215,0.6677966101694915,3.94,4.17,4.2,0.17134890013888898,0.6474576271186441,[]
TSURU,September 11,589,0,98.0,10.0,1.0380384244444822,2.2804652478200005,3.5760738687,1.6951872351129174,0.7368421052631579,3.99,4.17,4.2,0.10291099874999982,0.6859083191850595,[]
TSURU,September 13,594,0,98.83333333333333,10.0,1.0699630170755894,2.4329878313350006,3.2636517769,1.7618347604129188,0.734006734006734,3.99,4.17,4.2,0.03701420111111081,0.6683501683501684,[]
TSURU,September 19,568,0,94.5,10.0,0.9704600574033451,2.49283601988,3.5880400957,1.5293951241036112,0.6390845070422535,3.97,4.17,4.2,0.20725682805555584,0.5827464788732394,[]
TSURU,September 25,594,0,98.83333333333333,10.0,1.0327386968570709,2.604025977435001,3.7518791305,1.7031665199240282,0.6531986531986532,3.94,4.17,4.2,0.12084525416666686,0.6161616161616161,[]
TSURU,October 03,576,0,95.83333333333333,10.0,1.255871681140278,3.2313755391,4.0982031722,2.004656135710835,0.5815972222222222,3.87,4.07,4.2,0.30929220833333293,0.5329861111111112,[]
TSURU,October 15,595,6,99.0,10.0,1.017222186794958,1.9108305302099997,3.293420664,1.6776813573469456,0.7747899159663866,4.02,4.17,4.2,0.15110081902777783,0.6571428571428571,[]
TSURU,October 26,420,0,69.83333333333333,10.0,0.9047837844540476,2.8916390227,3.8551875801999995,1.0514992910374992,0.5333333333333333,3.94,4.12,4.2,0.2504058902777781,0.49523809523809526,[]
TSURU,October 29,179,0,29.666666666666668,10.0,1.5076380337050281,2.1600361083199977,4.2634151012,0.7455002180947227,1.0,4.07,4.17,4.2,-0.08787583972222225,0.9329608938547486,[]
TSURU,November 02,595,6,99.0,10.0,1.0847768606931092,2.4964444654499998,3.8800763861,1.7880616143481944,0.6605042016806723,3.94,4.17,4.2,0.02055594152777768,0.6554621848739496,[]
TSURU,November 16,595,536,99.0,10.0,1.3992518688677311,3.243305889559999,4.0878176905,2.307265527413479,0.6773109243697479,3.92,4.17,4.2,0.134309418472222,0.6302521008403361,[]
TSURU,November 05,591,0,98.33333333333333,10.0,1.0438702181862944,2.5313250591500003,3.8825183337999998,1.7099485124737486,0.6700507614213198,3.94,4.17,4.2,0.09797196333333337,0.6412859560067682,[]
TSURU,November 22,595,5,99.0,10.0,1.5161352316416807,3.50059078269,4.3059046254,2.500080840803197,0.6890756302521008,3.89,4.17,4.2,-0.015341881527777072,0.626890756302521,[]
TSURU,November 27,595,5,99.0,10.0,0.9869097808310924,2.963206911259999,4.1021480238,1.6267995648465305,0.5563025210084034,3.92,4.12,4.2,0.1902420106944441,0.5394957983193277,[]
TSURU,December 07,595,5,99.0,10.0,0.9430595829502522,2.35575658458,3.8505606376,1.5577418803470846,0.6554621848739496,3.99,4.17,4.2,0.320528816111111,0.5327731092436975,[]
TSURU,December 13,327,0,54.333333333333336,10.0,1.0027386787012231,1.29333591656,1.411303304,0.9081144324472229,1.0,4.17,4.2,4.2,0.08123957666666669,0.0,[]
TSURU,December 20,995,136,175.60666666666665,10.600000000000023,0.952761541080804,2.1213942386499998,3.4223122442,2.7835335079167285,0.6743718592964824,3.99,4.17,4.2,0.37243346405833366,0.6201005025125628,[]
TSURU,December 25,599,0,105.64666666666668,10.599999999999909,1.068485149121035,3.15019702011,4.0281421608,1.8842520554381934,0.5959933222036727,3.92,4.12,4.2,0.05826186797222181,0.5542570951585977,[]
TSURU,January 02 2022,599,0,105.64666666666668,10.599999999999909,1.047086603497663,2.6828512097800004,3.2826161726000005,1.8427110222506056,0.662771285475793,3.94,4.17,4.2,0.09143477349444472,0.6110183639398998,[]
TSURU,January 24 2022,592,0,111.305,11.300000000000182,1.191086405730912,3.3968891010299993,4.3780879829999995,2.2075228034402237,0.5777027027027027,3.79,4.1,4.2,0.3775297597249995,0.535472972972973,[]
UGUISU,23 October 2020,1079,0,89.83333333333333,5.0,0.9827703419601482,2.7753256181999992,3.506250554,1.4701713855733372,0.6116774791473587,3.89,4.1,4.2,0.3018257434722236,0.5291936978683967,[]
UGUISU,13 Feb 2021,1080,0,89.91666666666667,5.0,1.0437571253477778,2.819539990315,3.9438092258,1.5635240337265992,0.649074074074074,3.92,4.17,6.44,0.24556501999999983,0.5296296296296297,"[""battery voltage left the documented 3.0\u20134.5 V analysis guard band""]"
UGUISU,10 April 2021,1101,10,91.66666666666667,5.0,1.0396442525222525,2.6803723595999998,3.5004715301000005,1.5880631056951378,0.6412352406902816,3.89,4.12,4.2,0.22380485069444442,0.5449591280653951,[]
