site_id,date,fc_cloud_mean,fc_cloud_max,fc_clear_hours,fc_rh_mean,fc_wind_max,fc_precip_sum,month_sin,month_cos,site_light,era5_cloud_mean,era5_clear_hours,nasa_power_daily_cloud,clear_night
mosul,2024-02-01,96.0,100,0,67.6,7.3,0.0,0.866,0.5,0.25,80.9,1,28.16,0
mosul,2024-02-02,17.7,50,6,75.3,5.1,0.0,0.866,0.5,0.25,1.5,10,25.52,1
mosul,2024-02-03,55.4,100,4,70.9,3.2,1.5,0.866,0.5,0.25,58.1,2,48.77,0
mosul,2024-02-04,95.8,100,0,88.1,7.4,0.4,0.866,0.5,0.25,65.4,2,85.8,0
mosul,2024-02-05,89.7,99,0,91.5,6.2,3.2,0.866,0.5,0.25,81.7,1,99.38,0
mosul,2024-02-06,91.6,100,0,79.3,3.8,0.0,0.866,0.5,0.25,68.9,2,76.69,0
mosul,2024-02-07,61.6,71,0,84.9,3.4,0.0,0.866,0.5,0.25,14.6,7,60.54,1
mosul,2024-02-08,60.0,100,1,85.3,2.3,0.0,0.866,0.5,0.25,45.4,4,50.76,0
mosul,2024-02-09,78.6,100,0,77.3,3.7,0.6,0.866,0.5,0.25,83.3,0,64.08,0
mosul,2024-02-10,81.2,99,0,78.0,12.5,0.1,0.866,0.5,0.25,4.3,10,69.13,1
mosul,2024-02-11,0.0,0,10,70.4,7.3,0.0,0.866,0.5,0.25,0.0,10,3.32,1
mosul,2024-02-12,99.9,100,0,77.9,5.4,0.0,0.866,0.5,0.25,100.0,0,53.62,0
mosul,2024-02-13,100.0,100,0,65.1,7.0,0.0,0.866,0.5,0.25,99.9,0,98.77,0
mosul,2024-02-14,100.0,100,0,88.4,26.2,15.0,0.866,0.5,0.25,98.9,0,99.63,0
mosul,2024-02-15,87.9,100,0,93.4,7.0,0.1,0.866,0.5,0.25,40.9,6,74.21,1
mosul,2024-02-16,99.9,100,0,89.4,10.5,5.4,0.866,0.5,0.25,99.7,0,84.05,0
mosul,2024-02-17,94.2,100,0,91.3,4.9,4.0,0.866,0.5,0.25,67.5,1,98.36,0
mosul,2024-02-18,23.2,70,7,88.9,3.6,0.0,0.866,0.5,0.25,7.8,9,52.47,1
