local_time,cloud_low_pct,cloud_mid_pct,cloud_high_pct,humidity_pct,wind_kmh,visibility_m,aod,dust_ug_m3,pm10_ug_m3,pm2_5_ug_m3
2026-09-24T19:00,0,0,0,26,7.1,50080.0,0.14,4.0,19.0,10.9
2026-09-24T20:00,0,0,0,30,5.0,47700.0,0.14,5.0,21.2,10.7
2026-09-24T21:00,0,0,9,32,5.2,46720.0,0.14,4.0,20.2,10.6
2026-09-24T22:00,0,0,39,35,6.2,45100.0,0.14,3.0,18.6,10.9
2026-09-24T23:00,0,0,0,35,6.7,45040.0,0.15,3.0,18.5,10.5
2026-09-25T00:00,0,0,0,35,7.5,45040.0,0.16,3.0,17.8,8.9
2026-09-25T01:00,0,0,0,37,8.0,44440.0,0.16,2.0,17.0,8.6
2026-09-25T02:00,0,0,0,37,9.2,44460.0,0.16,2.0,16.2,8.2
2026-09-25T03:00,0,0,0,36,9.5,44660.0,0.17,2.0,15.7,7.8
2026-09-25T04:00,0,0,0,37,8.9,44300.0,0.17,2.0,14.9,7.6
